name_canonical,name_variants,type,lat,lng,province_rvn,province_modern,source_url,confidence,notes
Phan Thiết,Phan Thiet|History of Phan Thiết|Phan Thiết provincial city|Phan Thiết (ward),town,10.92833,108.10361,,Bình Thuận,https://en.wikipedia.org/wiki/Phan_Thi%E1%BA%BFt,medium,from: town
Phan Thiết (city),Phan Thiet (city),city,10.93333,108.10000,,Bình Thuận,https://en.wikipedia.org/wiki/Phan_Thi%E1%BA%BFt_(city),medium,from: city+town
Phu Bai Combat Base,,army_base,16.40167,107.70278,,Thừa Thiên Huế,https://en.wikipedia.org/wiki/Phu_Bai_Combat_Base,medium,from: army; coord via Wikidata P625
Phù Cát Air Base,Phu Cat AB|Phu Cat Air Base,airbase,13.95500,109.04222,,Bình Định,https://en.wikipedia.org/wiki/Ph%C3%B9_C%C3%A1t_Air_Base,medium,from: usaf; coord via Wikidata P625
"Phù Cát, Gia Lai","Ngô Mây, Phù Cát|Phu Cat, Gia Lai",town,13.99750,109.06000,,Bình Định,https://en.wikipedia.org/wiki/Ph%C3%B9_C%C3%A1t%2C_Gia_Lai,medium,from: town
Phù Mỹ,Phu My,town,14.17167,109.05000,,Bình Định,https://en.wikipedia.org/wiki/Ph%C3%B9_M%E1%BB%B9,medium,from: town
"Phú Túc, Gia Lai","Phu Tuc, Gia Lai",town,13.19583,108.68694,,Gia Lai,https://en.wikipedia.org/wiki/Ph%C3%BA_T%C3%BAc%2C_Gia_Lai,medium,from: town
"Phước Hậu, Khánh Hòa","Phuoc Hau, Khanh Hoa",town,11.61000,108.88028,,Ninh Thuận,https://en.wikipedia.org/wiki/Ph%C6%B0%E1%BB%9Bc_H%E1%BA%ADu%2C_Kh%C3%A1nh_H%C3%B2a,medium,from: town
PK-17,,army_base,16.54700,107.44900,,Thừa Thiên Huế,https://en.wikipedia.org/wiki/PK-17,medium,from: army; coord via Wikidata P625
Plei Djereng Camp,,camp,13.97000,107.64200,,Gia Lai,https://en.wikipedia.org/wiki/Plei_Djereng_Camp,medium,from: army; coord via Wikidata P625
Pleiku,PleiKu|Play Cu|Play Ku|Pleiku Province|History of Pleiku|Pờ-lây-cu|Pleiku provincial city,city,13.98333,108.00000,,Gia Lai,https://en.wikipedia.org/wiki/Pleiku,medium,from: city+town
Pleiku Air Base,Pleiku AB,airbase,14.00444,108.01722,,Gia Lai,https://en.wikipedia.org/wiki/Pleiku_Air_Base,medium,from: usaf
Quản Lợi Base Camp,Quan Loi Base Camp|Quần Lợi Base Camp,camp,11.67400,106.66300,,Bình Phước,https://en.wikipedia.org/wiki/Qu%E1%BA%A3n_L%E1%BB%A3i_Base_Camp,medium,from: army; coord via Wikidata P625
"Quảng Khê, Lâm Đồng","Quảng Khê, Đắk Nông|Quang Khe, Lam Dong",town,11.90944,107.79611,,Đắk Nông,https://en.wikipedia.org/wiki/Qu%E1%BA%A3ng_Kh%C3%AA%2C_L%C3%A2m_%C4%90%E1%BB%93ng,medium,from: town
Quảng Ngãi (city),Quang Ngai City|Thành phố Quảng Ngãi|Quang Ngai town|Quang Ngai (city),city,15.11667,108.80000,,Quảng Ngãi,https://en.wikipedia.org/wiki/Qu%E1%BA%A3ng_Ng%C3%A3i_(city),medium,from: city+town
Quang Ngai Airfield,Quảng Ngãi Airfield,airbase,15.11550,108.77100,,Quảng Ngãi,https://en.wikipedia.org/wiki/Quang_Ngai_Airfield,medium,from: army+marine+usaf; coord via Wikidata P625
Qui Nhon Airfield,Qui Nhơn Air Base|Qui Nhơn Airfield,airbase,13.78167,109.24056,,,https://en.wikipedia.org/wiki/Qui_Nhon_Airfield,medium,from: army+usaf; coord via Wikidata P625
Quy Nhơn,Qui Nhon Bay|Qui Nhon|History of Qui Nhơn|Qui Nhơn|Quinhon|Quy Nhon|Quy Nhơn provincial city,city,13.76667,109.23333,,Bình Định,https://en.wikipedia.org/wiki/Quy_Nh%C6%A1n,medium,from: city+town
Rạch Giá,Rach Gia|Rạch Giá provincial city|Rạch Giá (provincial city)|Rạch Giá (city),city,10.01667,105.08333,,,https://en.wikipedia.org/wiki/R%E1%BA%A1ch_Gi%C3%A1,medium,from: city+town
Sa Đéc (city),Sa Đéc provincial city|Sa Đéc (provincial city)|Sa Dec (city),town,10.30000,105.76670,,Đồng Tháp,https://en.wikipedia.org/wiki/Sa_%C4%90%C3%A9c_(city),medium,from: town
Sa Thầy,Sa Thay,town,14.40806,107.79722,,Kon Tum,https://en.wikipedia.org/wiki/Sa_Th%E1%BA%A7y,medium,from: town
Soc Trang Airfield,Sóc Trăng Airfield,airbase,9.58000,105.95900,,Sóc Trăng,https://en.wikipedia.org/wiki/Soc_Trang_Airfield,medium,from: army; coord via Wikidata P625
